恐怖直播,2013,8.7,630098
喜宴,1993,9.0,344136
血战钢锯岭,2016,8.7,759786
七武士,1954,9.3,189260
花样年华,2000,8.7,579459
九品芝麻官,1994,8.7,641722
头脑特工队,2015,8.8,585314
黑客帝国3：矩阵革命,2003,8.8,431500
色，戒,2007,8.6,755739
惊魂记,1960,9.0,276150
茶馆,1982(中国大陆),9.5,128209
电锯惊魂,2004,8.8,510592
你的名字。,2016,8.5,1339138
三块广告牌,2017,8.7,793874
达拉斯买家俱乐部,2013,8.8,437628
疯狂原始人,2013,8.7,811345
卢旺达饭店,2004,8.9,317202
心迷宫,2014,8.7,499451
上帝之城,2002,9.0,292455
谍影重重3,2007,8.8,403275
英雄本色,1986,8.6,514365
风之谷,1984,8.9,343726
纵横四海,1991,8.8,405040
海街日记,2015,8.8,428833
绿里奇迹,1999,8.9,315055
爱在午夜降临前,2013,8.9,380811
记忆碎片,2000,8.7,581690
岁月神偷,2010,8.7,561277
忠犬八公物语,1987,9.2,186768
荒蛮故事,2014,8.8,427573
疯狂的石头,2006,8.6,788756
爆裂鼓手,2014,8.7,563921
小偷家族,2018,8.7,787867
无敌破坏王,2012,8.7,516715
雨中曲,1952,9.1,212510
贫民窟的百万富翁,2008,8.6,723796
冰川时代,2002,8.6,591441
东邪西毒,1994,8.6,555859
2001太空漫游,1968,8.9,306811
恐怖游轮,2009,8.5,822864
无间道2,2003,8.7,454260
背靠背，脸对脸,1994,9.5,121210
真爱至上,2003,8.6,712010
小丑,2019,8.7,968092
你看起来好像很好吃,2010,8.9,321644
遗愿清单,2007,8.7,436684
牯岭街少年杀人事件,1991,8.9,282882
黑天鹅,2010,8.6,760535
魔女宅急便,1989,8.7,440639
东京教父,2003,9.0,214323
大佛普拉斯,2017,8.7,432675
可可西里,2004,8.9,291945
心灵奇旅,2020,8.7,930472
城市之光,1931,9.3,139046
雨人,1988,8.7,390887
恋恋笔记本,2004,8.6,645850
源代码,2011,8.5,807424
初恋这件小事,2010,8.5,955328
海边的曼彻斯特,2016,8.6,504012
虎口脱险,1966,8.9,245696
人工智能,2001,8.7,428252
萤火虫之墓,1988,8.7,394331
波西米亚狂想曲,2018,8.6,579284
青蛇,1993,8.6,504262
罗生门,1950,8.8,301783
终结者2：审判日,1991,8.8,329279
疯狂的麦克斯4：狂暴之路,2015,8.7,507592
新龙门客栈,1992,8.7,426077
奇迹男孩,2017,8.6,536560
二十二,2015,8.7,284193
千钧一发,1997,8.8,282438
无耻混蛋,2009,8.6,456537
